Country,Year,Income,SugarPerPerson,Food Supply
North Korea,2004,3.06,6.42,2180
North Korea,1994,3.08,6.42,2100
North Korea,1993,3.26,9.64,2250
North Korea,1992,3.38,13.1,2280
North Korea,1991,3.59,11.4,2220
North Korea,1990,3.92,12.7,2370
Norway,1990,39.5,115,3220
Norway,1991,39.6,118,3220
Norway,1992,39.7,120,3220
Norway,1993,39.9,121,3280
Norway,1994,40.1,121,3220
Norway,1995,42.8,120,3310
Norway,1996,44.1,126,3330
Norway,1997,45.3,125,3400
Norway,1998,46.9,127,3420
Norway,1999,48.8,126,3380
Norway,2000,49.5,123,3420
Norway,2001,50.7,121,3460
Norway,2002,52,117,3440
Norway,2005,54,101,3450
Norway,2003,54.9,112,3480
Norway,2004,56.3,104,3520
Norway,2006,59.7,103,3460
Norway,2007,61.9,105,3480
Norway,2008,61.9,103,3470
Norway,2009,62.1,105,3490
Norway,2010,65.2,110,3490
Norway,2011,66.7,114,3500
Norway,2012,70,120,3490
Saudi Arabia,1990,21.2,75.2,2870
Saudi Arabia,1991,22.6,77.7,2780
Saudi Arabia,1992,22.8,76,2740
Saudi Arabia,1993,23.6,74.5,2700
Saudi Arabia,1994,24.3,77,2850
Saudi Arabia,1995,25.6,78.7,2910
Saudi Arabia,1996,26.6,79.9,2980
Saudi Arabia,1998,27.8,81.6,3070
Saudi Arabia,1997,28.1,79.4,3010
Saudi Arabia,1999,30.2,84,3110
Saudi Arabia,2001,30.3,84.2,3020
Saudi Arabia,2000,30.5,84.6,3080
Saudi Arabia,2002,34.5,85.6,3000
Saudi Arabia,2003,38.1,84.6,2960
Saudi Arabia,2004,41.3,88.6,2990
Saudi Arabia,2005,43.5,89.4,3050
Saudi Arabia,2006,45.5,87.8,3050
Saudi Arabia,2009,48.3,90.7,3120
Saudi Arabia,2008,48.7,92.2,3010
Saudi Arabia,2007,49.7,88.8,3010
Saudi Arabia,2010,51.5,88.8,3100
Saudi Arabia,2012,52.5,86.8,3260
Saudi Arabia,2011,52.7,88,3270
South Africa,1998,6.08,89.3,2840
South Africa,1999,6.12,88,2890
South Africa,1997,6.14,90.4,2850
South Africa,2000,6.17,86,2910
South Africa,1996,6.33,90.2,2820
South Africa,1995,6.39,90.2,2800
South Africa,1994,6.58,90.9,2810
South Africa,2001,6.75,84.5,2910
South Africa,1993,6.86,93,2830
South Africa,1992,7.13,93.5,2840
South Africa,2002,7.18,87.3,2930
South Africa,1991,7.22,95.4,2800
South Africa,1990,7.56,97.9,2820
South Africa,2003,8.01,84.3,2940
South Africa,2004,9.05,84.2,2950
South Africa,2005,10.3,85.8,2930
South Africa,2006,10.7,84,2920
South Africa,2007,11.3,82.3,2920
South Africa,2008,11.4,83.2,2940
South Africa,2012,11.8,101,3020
South Africa,2011,11.9,98.7,3010
South Africa,2009,12,96.5,2990
South Africa,2010,12,95.8,3000
Switzerland,1995,61.2,144,3340
Switzerland,1994,61.3,133,3310
Switzerland,1996,61.5,141,3320
Switzerland,1993,61.7,124,3330
Switzerland,1992,62,137,3360
Switzerland,1997,62.1,133,3330
Switzerland,1998,62.5,138,3320
Switzerland,1999,62.7,149,3440
Switzerland,1991,63.4,134,3420
Switzerland,2000,64.3,147,3380
Switzerland,2002,64.4,156,3430
Switzerland,2001,64.8,157,3440
Switzerland,1990,65,123,3350
Switzerland,2003,65,163,3410
Switzerland,2004,65.3,161,3390
Switzerland,2005,65.6,164,3430
Switzerland,2006,67.3,162,3430
Switzerland,2008,67.5,159,3470
Switzerland,2009,67.7,161,3450
Switzerland,2007,67.8,163,3450
Switzerland,2010,68.7,160,3490
Switzerland,2012,70.1,166,3390
Switzerland,2011,70.4,165,3380
United Kingdom,1990,31.9,112,3210
United Kingdom,1991,32.2,110,3270
United Kingdom,1994,32.5,104,3190
United Kingdom,1992,33.1,99.2,3220
United Kingdom,1995,33.6,108,3270
United Kingdom,1993,33.8,108,3240
United Kingdom,1996,35.2,108,3330
United Kingdom,1997,36.6,103,3350
United Kingdom,1998,38.2,109,3400
United Kingdom,1999,43.8,102,3360
United Kingdom,2001,44,113,3420
United Kingdom,2011,44.1,106,3400
United Kingdom,2004,44.4,103,3440
United Kingdom,2010,44.7,110,3420
United Kingdom,2002,44.8,111,3400
United Kingdom,2003,44.9,114,3450
United Kingdom,2000,45,111,3400
United Kingdom,2012,45.6,113,3420
United Kingdom,2007,45.8,99.9,3420
United Kingdom,2008,45.8,106,3410
United Kingdom,2009,45.8,100,3400
United Kingdom,2005,47.6,90.5,3440
United Kingdom,2006,49.8,99,3420
United States,1990,54.2,175,3520
United States,1991,54.2,177,3560
United States,1992,55.3,181,3610
United States,1993,56.3,183,3670
United States,1994,57.1,183,3580
United States,1995,58.1,186,3590
United States,1996,59.8,193,3650
United States,1997,61.4,194,3660
United States,1998,62.8,188,3670
United States,2000,63.5,186,3710
United States,1999,63.6,189,3760
United States,2001,63.7,193,3780
United States,2009,63.8,167,3650
United States,2003,64.4,194,3810
United States,2012,64.4,175,3680
United States,2007,64.6,170,3700
United States,2010,64.6,172,3650
United States,2002,64.7,192,3780
United States,2011,64.8,174,3690
United States,2008,65.4,165,3650
United States,2004,65.7,193,3830
United States,2006,66.4,175,3760
United States,2005,66.8,187,3780
